Fold,Epochs,MAE,RMSE,MSE,MAPE,R2
1,21,11.390904426574707,13.38303369271379,179.1055908203125,7.5738745,-3.7061495780944824
2,67,8.773432731628418,9.366452809491001,87.73043823242188,6.010254,-0.888662576675415
3,21,6.462873458862305,7.568889850360787,57.28809356689453,4.528056,-0.7643448114395142
4,34,7.62101936340332,8.75499255935466,76.64989471435547,5.027799,-4.114460468292236
5,62,8.163423538208008,10.685949380385265,114.18951416015625,6.03398,-0.860260009765625
Mean,—,8.482330703735352,9.9518636584611,102.99270629882812,5.8347926,-2.0667754888534544
Std,—,1.6411159654890037,1.988244457361659,42.27134223122378,1.0443817,1.511325013627588
