epoch,loss,mae,val_loss,val_mae,learning_rate
0,20544.1328125,143.15162658691406,20458.43359375,142.9529571533203,0.0010000000474974513
1,20502.95703125,143.00462341308594,20376.076171875,142.6624755859375,0.0010000000474974513
2,20384.357421875,142.58607482910156,20278.51171875,142.3187255859375,0.0010000000474974513
3,20292.666015625,142.27328491210938,20178.513671875,141.96539306640625,0.0010000000474974513
4,20163.298828125,141.80979919433594,20094.345703125,141.66690063476562,0.0010000000474974513
5,20053.81640625,141.4231414794922,20006.626953125,141.35496520996094,0.0010000000474974513
6,19984.841796875,141.17575073242188,19909.716796875,141.0103302001953,0.0010000000474974513
7,19815.23046875,140.57760620117188,19819.994140625,140.69122314453125,0.0010000000474974513
8,19740.15625,140.30673217773438,19721.01171875,140.33767700195312,0.0010000000474974513
9,19559.576171875,139.66302490234375,19616.591796875,139.96360778808594,0.0010000000474974513
10,19510.412109375,139.49302673339844,19509.240234375,139.57797241210938,0.0010000000474974513
11,19311.060546875,138.7565460205078,19397.2734375,139.17422485351562,0.0010000000474974513
12,19135.015625,138.12905883789062,19274.599609375,138.7303924560547,0.0010000000474974513
13,19078.107421875,137.93075561523438,19147.291015625,138.2689208984375,0.0010000000474974513
14,18897.8671875,137.26560974121094,19014.6171875,137.7873992919922,0.0010000000474974513
15,18644.763671875,136.3474884033203,18873.5625,137.27243041992188,0.0010000000474974513
16,18531.21875,135.91383361816406,18693.990234375,136.6131134033203,0.0010000000474974513
17,18400.982421875,135.42962646484375,18492.001953125,135.86648559570312,0.0010000000474974513
18,18191.951171875,134.67599487304688,18282.724609375,135.08767700195312,0.0010000000474974513
19,17960.59375,133.8003692626953,18045.40234375,134.19924926757812,0.0010000000474974513
20,17733.078125,132.95506286621094,17803.7890625,133.28729248046875,0.0010000000474974513
21,17511.310546875,132.1165313720703,17587.95703125,132.46731567382812,0.0010000000474974513
22,17291.876953125,131.25743103027344,17366.8359375,131.62289428710938,0.0010000000474974513
23,17118.828125,130.6253662109375,17132.591796875,130.72398376464844,0.0010000000474974513
24,16802.337890625,129.41281127929688,16926.693359375,129.9261474609375,0.0010000000474974513
25,16618.369140625,128.63670349121094,16699.361328125,129.03851318359375,0.0010000000474974513
26,16300.8603515625,127.4190902709961,16419.982421875,127.93919372558594,0.0010000000474974513
27,16046.0556640625,126.44601440429688,16202.1044921875,127.0702133178711,0.0010000000474974513
28,15673.7978515625,124.93505096435547,15948.505859375,126.05435943603516,0.0010000000474974513
29,15435.86328125,123.9622802734375,15675.033203125,124.9486083984375,0.0010000000474974513
30,15188.7763671875,122.9886703491211,15423.267578125,123.9183578491211,0.0010000000474974513
31,14982.359375,122.16963958740234,15178.7841796875,122.9073257446289,0.0010000000474974513
32,14707.2470703125,121.0528335571289,14930.578125,121.88456726074219,0.0010000000474974513
33,14365.2431640625,119.55378723144531,14706.611328125,120.94819641113281,0.0010000000474974513
34,13785.78515625,117.12532043457031,14432.0390625,119.77851867675781,0.0010000000474974513
35,13427.244140625,115.61962127685547,14169.162109375,118.63204193115234,0.0010000000474974513
36,13231.69921875,114.7703628540039,13848.8466796875,117.24365234375,0.0010000000474974513
37,12932.455078125,113.44438171386719,13518.619140625,115.81233215332031,0.0010000000474974513
38,12577.7734375,111.72366333007812,13209.2060546875,114.46810150146484,0.0010000000474974513
39,12091.45703125,109.5302734375,12895.4140625,113.08223724365234,0.0010000000474974513
40,11766.0888671875,108.15513610839844,12550.904296875,111.52584075927734,0.0010000000474974513
41,11260.05859375,105.69017791748047,12205.1416015625,109.93391418457031,0.0010000000474974513
42,11119.89453125,105.01778411865234,11787.11328125,107.99885559082031,0.0010000000474974513
43,10625.3310546875,102.63825988769531,11306.1474609375,105.7223892211914,0.0010000000474974513
44,9903.775390625,99.10381317138672,10781.771484375,103.17529296875,0.0010000000474974513
45,9516.197265625,97.10865020751953,10215.046875,100.34120178222656,0.0010000000474974513
46,9139.8486328125,94.96788787841797,9660.6416015625,97.5230712890625,0.0010000000474974513
47,8882.4267578125,93.59524536132812,9158.330078125,94.92064666748047,0.0010000000474974513
48,8778.9833984375,93.08133697509766,8705.5,92.50164794921875,0.0010000000474974513
49,8497.0498046875,91.28697204589844,8231.7529296875,89.8571548461914,0.0010000000474974513
50,7699.9765625,86.9335708618164,7688.6455078125,86.68110656738281,0.0010000000474974513
51,7311.6875,84.92559814453125,7178.2216796875,83.53187561035156,0.0010000000474974513
