epoch,loss,mae,val_loss,val_mae,learning_rate
0,20283.630859375,142.25579833984375,19998.84765625,141.3052215576172,0.0010000000474974513
1,20166.0234375,141.8453826904297,19935.02734375,141.08169555664062,0.0010000000474974513
2,20058.60546875,141.46337890625,19868.455078125,140.84771728515625,0.0010000000474974513
3,19972.4921875,141.16180419921875,19793.498046875,140.5829315185547,0.0010000000474974513
4,19847.529296875,140.72653198242188,19708.474609375,140.28195190429688,0.0010000000474974513
5,19759.923828125,140.40237426757812,19615.197265625,139.95095825195312,0.0010000000474974513
6,19606.63671875,139.86318969726562,19508.783203125,139.571533203125,0.0010000000474974513
7,19548.47265625,139.66148376464844,19392.37109375,139.15499877929688,0.0010000000474974513
8,19438.904296875,139.2547607421875,19273.798828125,138.72821044921875,0.0010000000474974513
9,19222.55859375,138.47744750976562,19147.7265625,138.27304077148438,0.0010000000474974513
10,19165.384765625,138.28121948242188,19022.029296875,137.8170166015625,0.0010000000474974513
11,19066.19921875,137.89944458007812,18893.869140625,137.35128784179688,0.0010000000474974513
12,18824.86328125,137.0409393310547,18749.521484375,136.8225555419922,0.0010000000474974513
13,18718.40234375,136.6658935546875,18591.0078125,136.23806762695312,0.0010000000474974513
14,18553.662109375,136.0523223876953,18419.173828125,135.6017303466797,0.0010000000474974513
15,18362.796875,135.37158203125,18237.1171875,134.9263458251953,0.0010000000474974513
16,18185.40234375,134.6990966796875,18036.958984375,134.1788787841797,0.0010000000474974513
17,18072.015625,134.266845703125,17802.708984375,133.29957580566406,0.0010000000474974513
18,17826.83984375,133.36631774902344,17541.556640625,132.30877685546875,0.0010000000474974513
19,17708.974609375,132.9131622314453,17288.994140625,131.34097290039062,0.0010000000474974513
20,17599.5234375,132.51992797851562,17052.916015625,130.4280548095703,0.0010000000474974513
21,17321.544921875,131.4337921142578,16803.361328125,129.45382690429688,0.0010000000474974513
22,17057.96484375,130.42413330078125,16538.44921875,128.41015625,0.0010000000474974513
23,16808.44921875,129.4818572998047,16271.9638671875,127.35313415527344,0.0010000000474974513
24,16625.029296875,128.74977111816406,16002.6376953125,126.27201843261719,0.0010000000474974513
25,16355.1640625,127.70248413085938,15718.9091796875,125.12580871582031,0.0010000000474974513
26,16184.1513671875,127.01253509521484,15424.412109375,123.92901611328125,0.0010000000474974513
27,15832.130859375,125.63126373291016,15118.2421875,122.67094421386719,0.0010000000474974513
28,15602.4140625,124.66341400146484,14795.248046875,121.32878112792969,0.0010000000474974513
29,15298.9404296875,123.51761627197266,14481.615234375,120.00111389160156,0.0010000000474974513
30,14952.412109375,122.0712661743164,14170.2998046875,118.67231750488281,0.0010000000474974513
31,14593.455078125,120.56966400146484,13862.34375,117.33988952636719,0.0010000000474974513
32,14387.2666015625,119.68072509765625,13560.111328125,116.0296859741211,0.0010000000474974513
33,14147.7890625,118.69161224365234,13207.1904296875,114.48104095458984,0.0010000000474974513
34,13720.9541015625,116.9424057006836,12853.5166015625,112.88077545166016,0.0010000000474974513
35,13330.955078125,115.18192291259766,12464.9716796875,111.07691955566406,0.0010000000474974513
36,13064.1455078125,114.08828735351562,12094.564453125,109.3301773071289,0.0010000000474974513
37,12685.8544921875,112.3330307006836,11753.8212890625,107.71378326416016,0.0010000000474974513
38,12388.671875,111.02978515625,11412.9677734375,106.0867919921875,0.0010000000474974513
39,11665.6298828125,107.70701599121094,11089.9287109375,104.5023193359375,0.0010000000474974513
40,11602.515625,107.426513671875,10806.2958984375,103.12178039550781,0.0010000000474974513
41,11306.9619140625,106.08399963378906,10595.998046875,102.10476684570312,0.0010000000474974513
42,10840.0166015625,103.79402923583984,10415.404296875,101.21526336669922,0.0010000000474974513
43,10548.9150390625,102.39169311523438,10207.2607421875,100.15336608886719,0.0010000000474974513
44,10048.1650390625,99.78291320800781,9989.142578125,99.0179214477539,0.0010000000474974513
45,9766.689453125,98.4414291381836,9772.5068359375,97.81697845458984,0.0010000000474974513
46,9237.822265625,95.68061828613281,9509.17578125,96.35922241210938,0.0010000000474974513
47,9032.767578125,94.51348876953125,9251.666015625,94.93568420410156,0.0010000000474974513
48,8593.150390625,92.37152099609375,8950.0546875,93.2577133178711,0.0010000000474974513
49,8175.31640625,89.77555084228516,8611.810546875,91.34852600097656,0.0010000000474974513
50,7685.67333984375,87.42571258544922,8248.88671875,89.2606430053711,0.0010000000474974513
51,7226.10205078125,84.72532653808594,7886.41552734375,87.04962158203125,0.0010000000474974513
52,7203.56103515625,84.18795013427734,7529.82275390625,84.79096221923828,0.0010000000474974513
53,6498.025390625,80.02108764648438,7182.25,82.50391387939453,0.0010000000474974513
54,6148.95703125,77.61310577392578,6873.7021484375,80.39302825927734,0.0010000000474974513
55,6100.927734375,77.45015716552734,6556.3251953125,78.23625183105469,0.0010000000474974513
56,5521.04150390625,73.16761779785156,6249.59326171875,76.22379302978516,0.0010000000474974513
57,5264.43994140625,71.60530853271484,5932.06982421875,74.16793823242188,0.0010000000474974513
58,4832.47119140625,68.46925354003906,5602.12158203125,72.03267669677734,0.0010000000474974513
59,4556.3828125,66.62242126464844,5294.88916015625,69.97615814208984,0.0010000000474974513
60,3943.734375,61.77724075317383,4994.39306640625,67.86072540283203,0.0010000000474974513
61,3730.4716796875,60.2018928527832,4686.87548828125,65.68412780761719,0.0010000000474974513
62,3501.62451171875,58.012996673583984,4409.38330078125,63.643959045410156,0.0010000000474974513
63,3559.54638671875,58.262508392333984,4111.84912109375,61.35805130004883,0.0010000000474974513
64,3086.755126953125,53.762386322021484,3846.60498046875,59.238739013671875,0.0010000000474974513
65,2584.745361328125,49.23501968383789,3607.68603515625,57.164329528808594,0.0010000000474974513
66,2441.966552734375,48.13523864746094,3367.78759765625,54.952606201171875,0.0010000000474974513
67,2445.486328125,47.992042541503906,3138.116455078125,52.77136993408203,0.0010000000474974513
68,1983.2589111328125,42.57326889038086,2931.832763671875,50.675819396972656,0.0010000000474974513
69,1907.4993896484375,41.22433090209961,2734.11279296875,48.59950637817383,0.0010000000474974513
70,1786.888916015625,40.863346099853516,2534.523681640625,46.4188346862793,0.0010000000474974513
71,1764.8785400390625,38.98701858520508,2337.400146484375,44.12309646606445,0.0010000000474974513
72,1271.3314208984375,32.601009368896484,2144.8740234375,41.80438232421875,0.0010000000474974513
73,1158.3927001953125,31.601757049560547,1985.8707275390625,39.87458419799805,0.0010000000474974513
74,1209.5341796875,31.567415237426758,1895.439208984375,39.174964904785156,0.0010000000474974513
75,1100.38525390625,29.282325744628906,1855.180419921875,39.04391098022461,0.0010000000474974513
76,826.094482421875,25.900978088378906,1847.3333740234375,39.20981979370117,0.0010000000474974513
77,867.9345092773438,26.61503028869629,1773.3226318359375,38.44150161743164,0.0010000000474974513
78,789.0,24.942970275878906,1677.330078125,37.12443161010742,0.0010000000474974513
79,687.8610229492188,22.33123779296875,1591.48828125,35.60053253173828,0.0010000000474974513
80,506.8990783691406,18.857084274291992,1530.711669921875,34.31154251098633,0.0010000000474974513
81,569.9506225585938,20.179012298583984,1482.39501953125,33.430503845214844,0.0010000000474974513
82,414.0338439941406,16.46503448486328,1440.634765625,33.01836395263672,0.0010000000474974513
83,498.75689697265625,18.648319244384766,1442.390869140625,32.802494049072266,0.0010000000474974513
84,401.0561218261719,16.44073486328125,1444.9827880859375,32.69721221923828,0.0010000000474974513
85,418.6581115722656,15.9652738571167,1414.5894775390625,32.23712921142578,0.0010000000474974513
86,412.3069152832031,16.79494285583496,1369.943115234375,31.538110733032227,0.0010000000474974513
87,428.44342041015625,17.2867374420166,1298.5128173828125,30.779346466064453,0.0010000000474974513
88,370.40472412109375,15.463191032409668,1239.790283203125,30.29912757873535,0.0010000000474974513
89,325.3931884765625,15.27849292755127,1185.7960205078125,29.72905921936035,0.0010000000474974513
90,323.9405822753906,13.604137420654297,1131.9200439453125,29.190753936767578,0.0010000000474974513
91,303.3708801269531,13.54450798034668,1084.6849365234375,28.732227325439453,0.0010000000474974513
92,487.744384765625,17.51411247253418,1067.6064453125,28.3049373626709,0.0010000000474974513
93,269.8014831542969,13.79389762878418,1063.439208984375,28.381168365478516,0.0010000000474974513
