algorithm,final_round,train_loss,MAE,RMSE,R2,PPA
FedAvg,50,59.352090454101564,17.33104705810547,19.823453264161778,-3.3663253784179688,11.11111111111111
FedProx,50,52.07291717529297,17.799392700195312,21.085679879863815,-3.940065383911133,11.11111111111111
SCAFFOLD,50,66.0616584777832,15.10968017578125,17.18435251720433,-2.281132936477661,22.22222222222222
FedNova,50,65.43968658447265,19.264236450195312,22.403189350322563,-4.5766987800598145,11.11111111111111
FedCrit-HEA,50,78.92511596679688,15.018702507019043,17.55374089987881,-2.4237091541290283,22.22222222222222
