algorithm,round,train_loss,MAE,RMSE,R2,PPA
FedAvg,1,1722.5500244140626,42.0,43.05810028322197,-19.600000381469727,0.0
FedAvg,2,365.6802581787109,25.11817169189453,30.453500791357612,-9.304618835449219,0.0
FedAvg,3,255.32476348876952,18.67314910888672,24.902647363345228,-5.890464782714844,11.11111111111111
FedAvg,4,73.9043685913086,19.083898544311523,24.67640301426965,-5.76583194732666,0.0
FedAvg,5,91.94607238769531,17.776039123535156,20.578626992975398,-3.7053322792053223,22.22222222222222
FedAvg,6,85.71016921997071,16.594118118286133,18.75555988530676,-2.908566951751709,22.22222222222222
FedAvg,7,95.49532775878906,13.989917755126953,16.590648066651415,-2.058328866958618,0.0
FedAvg,8,79.8253044128418,16.243087768554688,18.189594790499818,-2.6762373447418213,22.22222222222222
FedAvg,9,100.97470932006836,16.213237762451172,18.125496693086614,-2.650373697280884,0.0
FedAvg,10,81.16947021484376,16.57432746887207,18.718755706123922,-2.893242359161377,22.22222222222222
FedAvg,11,43.768803405761716,16.91190528869629,19.27183028108157,-3.126704692840576,22.22222222222222
FedAvg,12,51.97498550415039,15.960164070129395,17.94280565860155,-2.5771586894989014,22.22222222222222
FedAvg,13,74.62789688110351,16.246448516845703,17.921274748829862,-2.5685787200927734,11.11111111111111
FedAvg,14,77.49281997680664,17.26740837097168,18.816149588892053,-2.9338607788085938,0.0
FedAvg,15,71.52411880493165,16.890655517578125,18.468351769712523,-2.789777994155884,11.11111111111111
FedAvg,16,81.08870391845703,16.053314208984375,17.725159362162657,-2.490902900695801,0.0
FedAvg,17,78.06921768188477,17.18242645263672,18.75146478653401,-2.9068603515625,0.0
FedAvg,18,58.52892150878906,15.978498458862305,17.55967868936753,-2.426025629043579,11.11111111111111
FedAvg,19,87.14554977416992,15.96226692199707,17.55201793926369,-2.423036813735962,0.0
FedAvg,20,84.19615020751954,17.201799392700195,19.17566626633381,-3.0856242179870605,11.11111111111111
FedAvg,21,58.43927764892578,16.33933448791504,18.318022744701203,-2.728332996368408,11.11111111111111
FedAvg,22,78.86889953613282,16.955570220947266,19.046709167910166,-3.0308570861816406,11.11111111111111
FedAvg,23,61.176155471801756,17.268878936767578,19.060975060674934,-3.036897659301758,11.11111111111111
FedAvg,24,81.36454925537109,17.30318260192871,19.11637574262452,-3.0603981018066406,11.11111111111111
FedAvg,25,57.13014297485351,18.152915954589844,20.237297689499886,-3.5505356788635254,11.11111111111111
FedAvg,26,51.99665641784668,17.098337173461914,18.90269691561481,-2.970132827758789,0.0
FedAvg,27,76.8088882446289,17.758508682250977,19.788434837558842,-3.350912570953369,11.11111111111111
FedAvg,28,45.501355743408205,17.742897033691406,19.504731997966545,-3.22705078125,11.11111111111111
FedAvg,29,74.96541824340821,18.30934715270996,20.521563098408297,-3.6792726516723633,11.11111111111111
FedAvg,30,69.41747360229492,18.24493980407715,20.200890791485687,-3.534177780151367,11.11111111111111
FedAvg,31,58.32627944946289,17.611305236816406,19.601292376825484,-3.2690072059631348,11.11111111111111
FedAvg,32,76.31580352783203,17.26715850830078,18.91888540198697,-2.976935863494873,11.11111111111111
FedAvg,33,64.78654327392579,17.448436737060547,19.272728915075426,-3.127089500427246,11.11111111111111
FedAvg,34,73.8889289855957,17.273147583007812,19.068102404195205,-3.0399169921875,11.11111111111111
FedAvg,35,68.45808334350586,17.785743713378906,19.673245552683266,-3.3004064559936523,11.11111111111111
FedAvg,36,64.69563903808594,18.103126525878906,20.36499901336735,-3.6081466674804688,11.11111111111111
FedAvg,37,56.8480037689209,18.29859161376953,20.502074346032266,-3.670389175415039,11.11111111111111
FedAvg,38,43.755252075195315,18.617631912231445,20.906137600127593,-3.856295585632324,11.11111111111111
FedAvg,39,59.18276252746582,18.10962677001953,20.228081037290014,-3.5463919639587402,11.11111111111111
FedAvg,40,61.24074935913086,18.131603240966797,20.552197504540118,-3.693253517150879,11.11111111111111
FedAvg,41,71.21988830566406,18.526987075805664,20.821397866878662,-3.8170065879821777,11.11111111111111
FedAvg,42,73.65824890136719,17.737808227539062,19.657419821856948,-3.293490409851074,11.11111111111111
