fold,train_size,val_size,test_size,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_mape,val_mape,test_mape,train_ppa,val_ppa,test_ppa
1,30,7,10,4.252473831176758,4.2851738929748535,7.409445285797119,5.6528898764869355,5.223931760964426,8.557760221562978,0.1607677936553955,-0.1124657392501831,-0.006531953811645508,3.0365054607391357,3.1378586292266846,5.255020618438721,100.0,100.0,100.0
2,30,7,10,4.419944763183594,6.879658222198486,5.768643379211426,5.546869326306517,7.657978469989725,7.7383583985458895,0.3098132014274597,-0.222802996635437,-1.5711548328399658,3.109079599380493,5.116786479949951,3.953429698944092,100.0,100.0,90.0
3,31,7,9,4.172143936157227,7.5037841796875,5.191423416137695,5.666471066558492,9.144293885081465,6.79121896715269,0.16549527645111084,-0.10558211803436279,-0.8047213554382324,2.951601505279541,5.431398391723633,3.8635213375091553,96.7741935483871,85.71428571428571,88.88888888888889
4,31,7,9,4.539819717407227,3.9805755615234375,5.5220947265625,5.902682402594471,5.396455746055982,6.437428594396911,0.37093085050582886,0.12670433521270752,-2.4043405055999756,3.1595633029937744,2.7885074615478516,3.8437907695770264,100.0,100.0,100.0
5,31,7,9,4.077941417694092,3.8357369899749756,7.007515907287598,5.507659780130043,5.478063532761347,8.193965310207433,0.22250807285308838,-0.22333598136901855,0.006135523319244385,2.908830165863037,2.8538668155670166,5.074284076690674,100.0,100.0,88.88888888888889
