metric,mean,std,min,max
train_mae,4.292464733123779,0.18677008968117964,4.077941417694092,4.539819717407227
val_mae,5.296985769271851,1.7511966209239846,3.8357369899749756,7.5037841796875
test_mae,6.179824542999268,0.9715522906798829,5.191423416137695,7.409445285797119
train_rmse,5.655314490415291,0.15401582630352206,5.507659780130043,5.902682402594471
val_rmse,6.580144678970589,1.7458237779027779,5.223931760964426,9.144293885081465
test_rmse,7.543746298373181,0.9054169088978109,6.437428594396911,8.557760221562978
train_r2,0.24590303897857665,0.09216453389246461,0.1607677936553955,0.37093085050582886
val_r2,-0.10749650001525879,0.14282223480742323,-0.22333598136901855,0.12670433521270752
test_r2,-0.956122624874115,1.0399741796806345,-2.4043405055999756,0.006135523319244385
train_mape,3.033116006851196,0.10471683093704869,2.908830165863037,3.1595633029937744
val_mape,3.8656835556030273,1.297163448821446,2.7885074615478516,5.431398391723633
test_mape,4.398009300231934,0.7039713340589482,3.8437907695770264,5.255020618438721
train_ppa,99.35483870967741,1.4426245016127648,96.7741935483871,100.0
val_ppa,97.14285714285714,6.388765649999402,85.71428571428571,100.0
test_ppa,93.55555555555557,5.900408021045225,88.88888888888889,100.0
