fold,train_MAE,train_RMSE,train_MAPE,train_PPA,val_MAE,val_RMSE,val_MAPE,val_PPA,test_MAE,test_RMSE,test_MAPE,test_PPA
1,10.850104331970215,13.727780786858132,7.5306854,30.952380952380953,14.964120864868164,16.062164659376453,10.582199,0.0,11.517181396484375,15.351088872305759,7.7178903,35.714285714285715
2,8.509201049804688,9.187841292289756,5.917891,11.627906976744185,12.88270092010498,13.652918219315616,8.930995,0.0,14.425466537475586,16.095619581940998,9.984109,15.384615384615385
3,8.246417045593262,11.435058333127612,5.635806,51.162790697674424,13.627636909484863,16.283913304839572,9.4862585,30.0,16.31075096130371,19.18647649066793,11.2506895,23.076923076923077
4,10.598871231079102,12.26048110690018,7.322766,16.27906976744186,13.079371452331543,14.904616164390564,8.997829,10.0,12.290731430053711,16.077874451400596,8.505184,30.76923076923077
5,12.889530181884766,15.152696204653079,8.964813,13.953488372093023,14.545610427856445,17.87388511328661,10.242558,20.0,21.527311325073242,25.318667265663393,14.736173,7.6923076923076925
